                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                  1.237,                  1.703,                 1.3502,                 1.5421,                 2.0135,                 1.3636,                0.14165,                0.24213,                 0.1201,                 0.0706,                 1.9027,                 3.4345,                 1.8878,                 1.9129,                 3.9918,                 1.7389,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2477,                 1.7277,                 1.3412,                  1.527,                 2.0084,                 1.3357,                0.10661,                0.21569,                0.08852,                 0.0472,                 1.9171,                 3.3623,                 1.8909,                 1.9063,                 4.0051,                 1.7442,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.2567,                 1.8053,                 1.3842,                 1.5393,                  2.121,                 1.3788,                0.15318,                0.23019,                0.09092,                0.04615,                 1.9469,                 3.2923,                 1.9241,                 1.9704,                 3.7538,                 1.7676,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1784,                  1.662,                 1.3294,                 1.4821,                 1.9671,                 1.3226,                0.17144,                0.21897,                0.07888,                0.04381,                 1.9767,                  3.437,                 1.9636,                 2.0128,                 3.7042,                 1.8033,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.2645,                 1.6997,                 1.3566,                 1.5611,                  2.073,                 1.3428,                0.19097,                0.14071,                0.09135,                0.05225,                 1.8747,                 3.3983,                 1.9143,                 1.9172,                 3.6892,                 1.7779,             0.00066506,             0.00066506,             0.00066506
                     57,                  1.195,                 1.6074,                 1.3105,                 1.5021,                  1.958,                  1.336,                0.15106,                0.13861,                0.09087,                0.06039,                 1.8797,                 3.6223,                 1.8856,                 1.9027,                 3.9672,                 1.7774,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1242,                 1.5395,                 1.2593,                 1.4288,                 1.7839,                 1.2679,                0.15622,                0.16715,                0.08013,                0.04485,                 1.8519,                 3.4638,                 1.8424,                  2.024,                 3.9062,                 1.8133,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.2054,                 1.5739,                  1.342,                 1.4423,                 1.8263,                 1.3185,                0.17491,                0.16411,                0.10061,                0.05514,                 1.9041,                 3.7604,                 1.9238,                 2.0915,                 4.0678,                  1.831,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1468,                 1.5929,                 1.3087,                 1.4719,                 1.8705,                 1.3091,                0.24032,                0.20822,                0.12457,                0.06351,                 1.8313,                  4.036,                 1.8673,                  1.963,                 4.2149,                 1.7416,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1784,                 1.5271,                 1.2682,                 1.5088,                 1.8573,                 1.2642,                 0.1927,                0.21109,                0.10811,                0.06261,                 1.8735,                 3.3266,                 1.8435,                 1.9172,                 3.9004,                 1.7004,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0269,                 1.3882,                 1.2239,                 1.3088,                 1.6881,                 1.2366,                0.21556,                0.14565,                0.11531,                0.07244,                 1.8346,                 3.2121,                 1.8438,                 1.9051,                 4.0128,                 1.7118,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1904,                 1.4378,                 1.3203,                 1.4678,                 1.7375,                  1.331,                 0.2143,                0.15273,                0.08759,                0.05429,                 1.8828,                 3.3498,                 1.9096,                 1.9054,                   3.98,                  1.791,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.2052,                 1.4348,                 1.3114,                  1.511,                 1.7514,                 1.3135,                0.26883,                0.14775,                0.09467,                0.05441,                 1.9619,                 3.4636,                 1.9544,                  1.969,                 4.1162,                 1.8464,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1696,                  1.572,                  1.348,                  1.373,                 1.7892,                 1.3357,                0.18976,                0.15203,                0.08742,                0.04779,                 1.9648,                 3.4931,                 1.9421,                 1.9696,                 4.1486,                  1.886,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1314,                 1.4277,                 1.2495,                 1.4589,                 1.7066,                 1.2431,                0.17346,                0.21308,                0.07895,                0.04487,                 1.8616,                 3.4603,                 1.8681,                 1.9765,                 4.1034,                 1.8302,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.0879,                 1.3747,                 1.2559,                 1.3465,                 1.6285,                 1.2652,                0.21136,                0.20313,                0.09882,                0.05616,                 1.7816,                 3.4425,                 1.8072,                 1.9433,                 4.0522,                 1.7763,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0974,                 1.4096,                 1.2674,                  1.444,                  1.726,                 1.2981,                0.23632,                0.19479,                0.10847,                0.06214,                 1.9288,                 3.2582,                 1.9216,                 1.8544,                 3.9602,                 1.7483,             0.00049529,             0.00049529,             0.00049529
                     69,                   1.05,                 1.4285,                 1.2383,                 1.2998,                 1.6308,                  1.241,                0.21128,                0.15146,                 0.1051,                0.07292,                 1.8944,                 3.2823,                 1.9387,                  1.943,                  3.866,                 1.7932,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0016,                  1.243,                 1.2002,                 1.2457,                 1.5154,                 1.2336,                0.16261,                0.14151,                0.09678,                0.06596,                 1.8509,                 3.3472,                 1.9228,                 1.9373,                 3.9025,                 1.7476,               0.000467,               0.000467,               0.000467
                     71,                0.99766,                 1.3707,                 1.2003,                 1.2756,                 1.6383,                 1.2279,                0.12808,                0.13283,                0.07994,                 0.0538,                 1.8172,                 3.4968,                 1.8829,                 1.9489,                 3.9697,                 1.7391,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0937,                 1.3387,                 1.2528,                 1.3791,                 1.6127,                 1.2797,                0.18378,                0.17451,                0.09452,                 0.0586,                 1.8416,                 3.3848,                 1.9004,                 1.9189,                 3.8852,                 1.7313,              0.0004387,              0.0004387,              0.0004387
                     73,                  1.003,                 1.2445,                 1.1649,                 1.3804,                 1.5009,                  1.204,                 0.1884,                0.17182,                0.09133,                0.04751,                 1.8742,                 3.3358,                 1.9084,                 2.0149,                 3.9323,                 1.7599,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0418,                 1.3423,                 1.2242,                  1.359,                 1.6222,                 1.2739,                0.13116,                0.14569,                0.07429,                0.04325,                  1.921,                 3.4963,                 1.9575,                 1.9839,                 4.2499,                 1.7741,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0319,                 1.2889,                 1.2331,                 1.3043,                 1.5626,                 1.2545,                0.12324,                0.14936,                0.07659,                 0.0474,                  1.889,                 3.4821,                 1.9589,                 2.0109,                 4.1659,                 1.7892,             0.00039626,             0.00039626,             0.00039626
                     76,                0.98655,                 1.2531,                 1.1964,                 1.2584,                 1.5795,                 1.2135,                0.15072,                 0.1378,                0.06642,                0.04081,                 1.8582,                 3.5176,                 1.9342,                 1.9557,                 4.0976,                 1.8203,             0.00038211,             0.00038211,             0.00038211
                     77,                0.99278,                 1.1664,                  1.208,                 1.3002,                 1.4342,                 1.2326,                0.11039,                0.18867,                 0.0705,                0.04435,                 1.9082,                 3.6267,                 2.0341,                 1.9932,                 4.0651,                 1.8526,             0.00036797,             0.00036797,             0.00036797
                     78,                0.97762,                 1.1564,                 1.1917,                 1.2813,                 1.4401,                 1.2322,                0.09958,                0.19046,                0.06187,                0.03747,                 1.9152,                 3.7569,                 2.0177,                 1.9815,                 4.1732,                 1.8233,             0.00035382,             0.00035382,             0.00035382
                     79,                  0.983,                 1.1327,                 1.1877,                 1.3102,                 1.4476,                 1.2254,                0.22371,                 0.0799,                0.07615,                0.04819,                 1.8881,                 3.8092,                  1.982,                 1.9633,                  4.241,                 1.7971,             0.00033967,             0.00033967,             0.00033967
                     80,                0.94234,                 1.1357,                 1.1803,                 1.2293,                 1.4168,                 1.2196,                0.16641,                0.08775,                0.07422,                0.04695,                 1.8768,                  3.611,                 1.9594,                 1.9495,                 4.0042,                 1.7873,             0.00032553,             0.00032553,             0.00032553
                     81,                  1.006,                 1.1777,                 1.1947,                 1.3533,                 1.4951,                 1.2182,                0.12731,                0.17516,                0.08384,                 0.0528,                 1.8733,                 3.5871,                 1.9291,                 1.9654,                 4.0212,                 1.7631,             0.00031138,             0.00031138,             0.00031138
                     82,                0.96117,                 1.1147,                 1.2118,                  1.257,                 1.4051,                 1.2442,                0.19539,                0.14148,                0.09604,                0.05677,                 1.8925,                  3.617,                 1.8996,                 1.8842,                 4.0221,                 1.7633,             0.00029723,             0.00029723,             0.00029723
                     83,                0.95191,                 1.0629,                 1.1494,                 1.2571,                 1.3237,                 1.1836,                0.18099,                0.15059,                0.09697,                0.05805,                 1.8966,                 3.6055,                  1.873,                 1.9239,                 3.9943,                 1.7723,             0.00028308,             0.00028308,             0.00028308
                     84,                0.96786,                 1.1325,                  1.187,                 1.2899,                 1.4238,                 1.2077,                0.25749,                0.12701,                0.09733,                0.05711,                 1.8752,                  3.605,                 1.8715,                 1.8506,                 4.0938,                 1.7648,             0.00026894,             0.00026894,             0.00026894
                     85,                 0.9375,                 1.0169,                 1.1305,                 1.2594,                 1.2938,                  1.155,                0.21066,                0.14274,                0.10393,                0.06363,                 1.8754,                 3.5122,                 1.8836,                 1.8495,                 4.0082,                 1.7582,             0.00025479,             0.00025479,             0.00025479
                     86,                0.88922,                 1.0098,                 1.1356,                 1.2215,                  1.268,                  1.162,                 0.2417,                0.16146,                0.10846,                0.06886,                 1.8616,                 3.4981,                 1.8886,                 1.8296,                 4.0023,                 1.7401,             0.00024064,             0.00024064,             0.00024064
                     87,                0.91983,                 1.0884,                 1.1704,                 1.2051,                 1.3771,                 1.2262,                0.23606,                0.17133,                0.10739,                0.06549,                 1.8551,                 3.5662,                 1.8954,                 1.8241,                 4.0202,                 1.7382,              0.0002265,              0.0002265,              0.0002265
                     88,                0.94177,                 1.0719,                 1.1835,                 1.2109,                 1.2858,                   1.21,                0.18863,                0.15353,                0.08882,                0.05198,                 1.8551,                  3.649,                  1.885,                 1.8422,                  4.099,                  1.735,             0.00021235,             0.00021235,             0.00021235
                     89,                0.93238,                 1.0462,                 1.1474,                 1.1779,                 1.2756,                 1.1892,                0.20075,                0.12785,                0.08968,                0.05516,                 1.8777,                 3.6746,                 1.9316,                 1.8794,                 4.0829,                 1.7798,              0.0001982,              0.0001982,              0.0001982
                     90,                0.96527,                 1.0829,                 1.1814,                  1.249,                 1.3183,                 1.1802,                0.21165,                0.14585,                0.09581,                  0.062,                 1.8691,                 3.7392,                 1.9426,                 1.8839,                 4.0442,                    1.8,             0.00018406,             0.00018406,             0.00018406
                     91,                0.97732,                 1.1707,                 1.1483,                   1.26,                 1.3663,                 1.1584,                0.18631,                0.16846,                0.09755,                0.06497,                 1.8512,                 3.7798,                 1.9352,                 1.9113,                 4.0685,                 1.7946,             0.00016991,             0.00016991,             0.00016991
                     92,                0.85494,                0.98244,                 1.0913,                 1.1326,                 1.2059,                 1.1234,                0.29687,                 0.1001,                 0.0945,                0.06408,                 1.8397,                 3.7379,                  1.939,                 1.9142,                 4.0776,                  1.785,             0.00015576,             0.00015576,             0.00015576
                     93,                0.82966,                0.92898,                  1.081,                 1.0911,                 1.2076,                 1.1137,                0.33605,                 0.0956,                0.09089,                0.06003,                 1.8237,                 3.6835,                 1.9399,                 1.9235,                 4.1462,                 1.7967,             0.00014161,             0.00014161,             0.00014161
                     94,                0.92604,                 1.0565,                 1.1352,                 1.1422,                 1.2874,                 1.1494,                0.30716,                 0.0956,                 0.0933,                0.05838,                 1.8175,                 3.6886,                 1.9378,                 1.8957,                 4.2179,                 1.7806,             0.00012747,             0.00012747,             0.00012747
                     95,                0.87096,                0.96221,                 1.0764,                 1.1626,                 1.1357,                 1.1169,                0.16038,                0.13562,                  0.094,                0.05837,                 1.8013,                 3.6368,                 1.9145,                 1.9026,                 4.1706,                 1.7883,             0.00011332,             0.00011332,             0.00011332
                     96,                0.79211,                0.87523,                 1.0647,                0.98974,                 1.0562,                 1.0894,                0.18396,                0.12858,                0.08812,                0.05675,                 1.8208,                  3.645,                 1.9318,                 1.8442,                 4.2122,                 1.7863,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.80653,                0.88545,                 1.0881,                 1.0508,                  1.075,                 1.1169,                0.15866,                0.16054,                0.08689,                0.05598,                 1.8537,                 3.7289,                 1.9334,                 1.8748,                 4.2373,                 1.8134,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.79768,                0.88299,                 1.0788,                 1.0829,                 1.0832,                 1.1053,                0.15262,                0.13696,                 0.0833,                0.05196,                 1.8693,                 3.7651,                 1.9351,                 1.8647,                 4.2907,                 1.7654,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.81243,                0.84925,                 1.0715,                 1.0616,                 1.0424,                 1.0964,                0.16802,                0.14194,                0.08359,                0.05239,                 1.8708,                 3.7591,                 1.9093,                 1.8998,                 4.2432,                 1.7785,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.77093,                0.83779,                 1.0463,                 1.0248,                  1.026,                 1.0849,                0.18291,                0.14194,                0.08316,                0.05259,                  1.881,                 3.7413,                 1.9218,                 1.9058,                 4.2301,                 1.7754,             4.2584e-05,             4.2584e-05,             4.2584e-05
